Dest,ArrDelayMinutes,Diverted,Cancelled,WeatherDelay,temp,dewpoint,wind,precip,alti,vis,cloudCoverage,cloudAlt,weather,ice
LYH,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.79,10.0,FEW,6000.0,0,0.0
LYH,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.21,10.0,SCT,12000.0,0,0.0
SHV,18.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.38,10.0,OVC,3700.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.39,10.0,CLR,0.0,0,0.0
SHV,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.12,10.0,OVC,6000.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.97,10.0,BKN,2900.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.89,8.0,OVC,1100.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.26,10.0,OVC,1100.0,0,0.0
SHV,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.03,30.22,5.0,OVC,999.0,RA BR,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.6,10.0,CLR,0.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.51,10.0,CLR,0.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.24,10.0,0,0.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.92,10.0,OVC,4200.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.83,10.0,CLR,0.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.06,10.0,BKN,12000.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.41,10.0,CLR,0.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.28,10.0,CLR,0.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.32,10.0,CLR,0.0,0,0.0
SHV,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,30.14,10.0,CLR,0.0,0,0.0
CLT,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.85,10.0,BKN,5000.0,0,0.0
CLT,22.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.31,10.0,OVC,800.0,-DZ,0.0
DFW,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.23,10.0,CLR,0.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,30.06,10.0,0,0.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,29.77,10.0,CLR,0.0,0,0.0
DFW,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,29.84,10.0,CLR,0.0,0,0.0
DFW,25.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.87,10.0,CLR,0.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.2,10.0,CLR,0.0,0,0.0
DFW,27.0,0.0,0.0,0.0,60.1,60.1,6.0,0.01,29.99,2.0,BKN,800.0,-DZ BR,0.0
DFW,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.08,10.0,SCT,1699.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,30.27,10.0,OVC,2200.0,0,0.0
DFW,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.49,10.0,CLR,0.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.22,10.0,CLR,0.0,0,0.0
DFW,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,10.0,CLR,0.0,0,0.0
DFW,29.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,29.79,10.0,CLR,0.0,0,0.0
DFW,4.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,30.05,10.0,OVC,1999.0,0,0.0
DFW,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.32,10.0,BKN,10000.0,0,0.0
DFW,16.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.47,10.0,SCT,4800.0,0,0.0
DFW,16.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.72,10.0,CLR,0.0,0,0.0
DFW,30.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.37,10.0,CLR,0.0,0,0.0
DFW,23.0,0.0,0.0,0.0,55.0,48.9,13.0,0.0,30.08,10.0,BKN,2800.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,29.79,10.0,FEW,1200.0,0,0.0
DFW,20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.98,10.0,FEW,7500.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,30.41,10.0,OVC,3399.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.39,10.0,CLR,0.0,0,0.0
DFW,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.37,10.0,CLR,0.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.23,10.0,0,0.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.93,2.5,OVC,400.0,-SN BR,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,29.44,10.0,CLR,0.0,0,0.0
ORD,34.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.78,10.0,CLR,0.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,29.95,10.0,OVC,1699.0,0,0.0
ORD,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.72,6.0,OVC,3300.0,-SN,0.0
ORD,0.0,0.0,0.0,0.0,24.1,10.9,4.0,0.0,29.65,10.0,FEW,4500.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.04,10.0,OVC,4200.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.21,8.0,OVC,4600.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.11,10.0,OVC,900.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.09,7.0,CLR,0.0,0,0.0
ORD,16.0,0.0,0.0,0.0,17.6,10.4,14.0,1.0E-4,29.98,1.75,OVC,3100.0,-SN BLSN,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.53,10.0,CLR,0.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.17,10.0,OVC,6500.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.08,7.0,OVC,9500.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,29.99,10.0,OVC,1999.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.58,10.0,CLR,0.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.68,10.0,CLR,0.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.57,10.0,CLR,0.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,30.23,10.0,CLR,0.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.92,10.0,CLR,0.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,29.9,10.0,OVC,3700.0,0,0.0
ORD,9.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.06,3.0,BKN,1699.0,-SN,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.04,10.0,BKN,5500.0,0,0.0
ORD,0.0,0.0,0.0,0.0,19.9,6.1,7.0,0.0,30.02,10.0,FEW,3000.0,0,0.0
ORD,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.18,10.0,CLR,0.0,0,0.0
BTR,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,30.09,10.0,CLR,0.0,0,0.0
BTR,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.02,10.0,CLR,0.0,0,0.0
BTR,19.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.87,7.0,OVC,999.0,0,0.0
BTR,49.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,29.59,7.0,BKN,499.0,-RA,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.86,10.0,CLR,0.0,0,0.0
BTR,80.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.1,10.0,CLR,0.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.13,10.0,BKN,1400.0,0,0.0
BTR,12.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,29.99,7.0,OVC,1300.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,30.02,10.0,OVC,1400.0,0,0.0
BTR,24.0,0.0,0.0,0.0,68.0,64.0,12.0,1.0E-4,29.84,7.0,OVC,1500.0,-RA,0.0
BTR,9.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.29,10.0,BKN,2500.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.4,10.0,CLR,0.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.03,10.0,OVC,600.0,0,0.0
BTR,0.0,0.0,0.0,0.0,63.0,61.0,6.0,0.0,30.01,2.5,OVC,300.0,BR,0.0
BTR,81.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.12,9.0,SCT,2600.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.2,10.0,OVC,700.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.44,10.0,OVC,1400.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.51,10.0,CLR,0.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.07,10.0,CLR,0.0,0,0.0
BTR,11.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.81,10.0,BKN,600.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.95,7.0,CLR,0.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,30.33,10.0,OVC,4500.0,0,0.0
BTR,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.34,10.0,CLR,0.0,0,0.0
BTR,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.34,10.0,CLR,0.0,0,0.0
MAF,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.23,10.0,CLR,0.0,0,0.0
MAF,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29.97,10.0,CLR,0.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.14,10.0,CLR,0.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.04,10.0,OVC,5000.0,0,0.0
DFW,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,29.87,10.0,OVC,1500.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.03,30.11,5.0,SCT,999.0,-RA BR,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,29.75,10.0,CLR,0.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,29.83,10.0,CLR,0.0,0,0.0
DFW,4.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,30.03,10.0,BKN,1800.0,0,0.0
DFW,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.21,10.0,OVC,1999.0,0,0.0
DFW,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.45,10.0,CLR,0.0,0,0.0
